기간	자치구	동	합계	합계	합계	합계	합계	개인	개인	회사법인	회사법인	회사이외의 법인	회사이외의 법인	비법인단체	비법인단체
기간	자치구	동	사업체수	사업체수	종사자수	종사자수	종사자수	사업체수	종사자수	사업체수	종사자수	사업체수	종사자수	사업체수	종사자수
기간	자치구	동	사업체수	여성대표자	계	남	여	사업체수	종사자수	사업체수	종사자수	사업체수	종사자수	사업체수	종사자수
2017	합계	합계	822,863	278,152	5,119,913	2,848,150	2,271,763	628,981	1,582,451	153,609	2,730,632	19,458	681,386	20,815	125,444
2017	종로구	소계	40,490	13,577	268,702	154,100	114,602	31,924	77,155	6,351	137,652	1,330	49,402	885	4,493
2017	종로구	사직동	3,544	1,147	52,489	31,029	21,460	1,840	8,702	1,376	31,777	233	11,425	95	585
2017	종로구	삼청동	753	360	4,507	2,225	2,282	520	1,311	174	1,248	45	1,882	14	66
2017	종로구	부암동	567	235	4,147	2,137	2,010	420	1,053	76	775	26	2,143	45	176
2017	종로구	평창동	739	327	3,547	1,679	1,868	528	1,344	103	952	44	879	64	372
2017	종로구	무악동	531	104	1,457	729	728	481	1,112	15	147	9	124	26	74
2017	종로구	교남동	347	131	3,816	1,553	2,263	258	625	45	417	28	2,666	16	108
2017	종로구	가회동	747	366	13,681	10,225	3,456	544	1,220	129	11,121	47	1,208	27	132
2017	종로구	종로1.2.3.4가동	15,851	5,042	111,270	66,889	44,381	12,517	28,485	2,703	70,864	416	10,867	215	1,054
2017	종로구	종로5·6가동	7,613	2,486	23,581	14,491	9,090	6,710	13,719	656	8,280	132	1,214	115	368
2017	종로구	이화동	1,289	442	17,511	7,128	10,383	854	2,838	274	4,183	96	10,064	65	426
2017	종로구	창신1동	2,302	717	6,734	3,254	3,480	2,091	4,489	150	1,705	25	331	36	209
2017	종로구	창신2동	871	288	2,332	1,038	1,294	816	1,923	16	106	13	176	26	127
2017	종로구	창신3동	264	81	851	440	411	228	461	10	98	12	223	14	69
2017	종로구	숭인1동	507	176	1,433	664	769	449	1,029	30	163	10	167	18	74
2017	종로구	숭인2동	1,812	522	6,657	3,069	3,588	1,520	3,387	231	2,708	32	496	29	66
2017	종로구	청운효자동	1,016	463	5,891	3,143	2,748	755	1,588	144	1,043	78	2,944	39	316
2017	종로구	혜화동	1,737	690	8,798	4,407	4,391	1,393	3,869	219	2,065	84	2,593	41	271
2017	중구	소계	62,936	23,334	386,648	212,533	174,115	51,190	118,836	9,968	215,927	1,105	48,228	673	3,657
2017	중구	소공동	3,918	1,187	59,386	33,640	25,746	2,022	6,735	1,688	46,770	159	5,535	49	346
2017	중구	회현동	9,425	4,876	48,533	26,230	22,303	8,305	14,650	927	31,229	90	2,227	103	427
2017	중구	명동	6,770	1,966	107,800	58,903	48,897	3,705	12,109	2,633	72,196	277	22,516	155	979
2017	중구	필동	3,075	801	23,521	13,605	9,916	2,165	5,884	752	10,261	113	7,085	45	291
2017	중구	장충동	855	243	9,592	5,718	3,874	505	1,449	265	6,897	56	1,165	29	81
2017	중구	광희동	9,253	3,204	39,108	21,223	17,885	7,929	19,964	1,204	15,430	87	3,560	33	154
2017	중구	을지로동	9,453	2,086	32,444	21,002	11,442	8,343	17,929	973	12,533	91	1,875	46	107
2017	중구	신당5동	1,305	473	4,064	1,869	2,195	1,160	2,976	100	603	19	304	26	181
2017	중구	황학동	1,867	595	5,696	3,259	2,437	1,701	3,461	137	2,065	16	123	13	47
2017	중구	중림동	982	309	6,948	3,609	3,339	692	1,553	210	4,498	45	784	35	113
2017	중구	신당동	12,073	6,240	29,305	12,506	16,799	11,529	23,858	451	3,681	51	1,400	42	366
2017	중구	다산동	1,396	437	9,014	5,148	3,866	1,031	2,670	283	5,614	41	562	41	168
2017	중구	약수동	841	343	3,624	1,684	1,940	676	1,905	114	1,128	28	423	23	168
2017	중구	청구동	785	262	4,116	2,478	1,638	631	1,617	120	1,988	19	373	15	138
2017	중구	동화동	938	312	3,497	1,659	1,838	796	2,076	111	1,034	13	296	18	91
2017	용산구	소계	20,806	7,021	133,260	73,658	59,602	15,130	36,035	4,605	72,282	595	20,681	476	4,262
2017	용산구	후암동	859	322	5,156	2,239	2,917	726	2,189	77	2,226	36	622	20	119
2017	용산구	용산2가동	557	191	1,899	970	929	479	968	48	475	19	430	11	26
2017	용산구	남영동	1,714	598	17,940	9,437	8,503	1,095	2,999	481	12,832	82	1,651	56	458
