"주차장코드","주차장명","주소","주차장 종류","주차장 종류명","운영구분","운영구분명","전화번호","주차현황 정보 제공여부","주차현황 정보 제공여부명","주차 면(주차 가능 차량 수)","현재 주차중인 대수","현재 주차 차량 업데이트 시간","유무료구분","유무료구분명","야간무료개방여부","야간무료개방여부명","평일 운영 시작시각(HHMM)","평일 운영 종료시각(HHMM)","주말 운영 시작시각(HHMM)","주말 운영 종료시각(HHMM)","공휴일 운영 시작시각(HHMM)","공휴일 운영 종료시각(HHMM)","최종데이터 동기화 시간","토요일 유,무료 구분","토요일 유,무료 구분명","공휴일 유,무료 구분","공휴일 유,무료 구분명","월 정기권 금액","노상 주차장 관리그룹번호","기본 주차 요금","기본 주차 시간(분 단위)","추가 단위 요금","추가 단위 시간(분 단위)","버스 기본 주차 요금","버스 기본 주차 시간(분 단위)","버스 추가 단위 시간(분 단위)","버스 추가 단위 요금","일 최대 요금","주차장 위치 좌표 위도","주차장 위치 좌표 경도","배정코드","배정코드명"
"1027845","휘경마을 공영주차장(구)","동대문구 휘경동 308-32","NW","노외 주차장","3","시간제 + 거주자 주차장","02-2247-9664~6","0","미연계중","78","0","","Y","유료","N","야간 미개방","0900","1900","0900","1900","0900","1900","2019-06-10 09:36:14","N","무료","N","무료","","","1000","60","0","0","0","0","0","0","10000","37.5880691","127.05809327","PIS02","미배정미점유"
"1247680","휘경유수지 공영주차장(구)","동대문구 휘경동 348-0","NW","노외 주차장","1","시간제 주차장","","0","미연계중","55","0","","Y","유료","N","야간 미개방","0000","2400","0000","2400","0000","2400","2019-06-10 09:37:29","N","무료","N","무료","170000","","500","10","500","10","0","0","0","0","0","37.58908686","127.06977384","PIS02","미배정미점유"
"1268816","후암동주차장(구)","용산구 후암동 65-4","NW","노외 주차장","1","시간제 주차장","02-749-5314","0","미연계중","39","0","","Y","유료","N","야간 미개방","0000","2400","0000","2400","0000","2400","2019-06-10 09:35:47","N","무료","N","무료","140000","","150","5","150","5","0","0","0","0","0","37.55048874","126.97648587","PIS02","미배정미점유"
"1277150","화랑대역 환승주차장(시)","중랑구 묵동 28-0","NW","노외 주차장","1","시간제 주차장","02)2290-6410","1","현재~20분이내 연계데이터 존재(현재 주차대수 표현)","332","109","2019-08-10 09:39:06","Y","유료","N","야간 미개방","0000","2400","0000","2400","0000","2400","2019-06-10 09:36:00","N","무료","N","무료","39000","","50","5","50","5","0","0","0","0","","37.61997867","127.08669582","PIS02","미배정미점유"
"1367127","흑석3동 공영주차장(시)","동작구 흑석동 95-7","NW","노외 주차장","1","시간제 주차장","02-813-3028","1","현재~20분이내 연계데이터 존재(현재 주차대수 표현)","108","34","2019-08-10 09:39:14","Y","유료","N","야간 미개방","0000","2400","0000","2400","0000","2400","2019-06-10 09:38:18","N","무료","N","무료","120000","","250","5","250","5","0","0","0","0","0","37.50617304","126.96217031","PIS02","미배정미점유"
"1431644","황학어린이공원지하주차장(구)","중구 황학동 755-0","NW","노외 주차장","3","시간제 + 거주자 주차장","02-2256-7004","0","미연계중","113","0","","Y","유료","N","야간 미개방","0000","2400","0000","2400","0000","2400","2019-06-10 09:37:01","N","무료","N","무료","180000","","200","5","200","5","0","0","0","0","","37.56754712","127.01813313","PIS02","미배정미점유"
"1452167","힐스테이트옆 이륜차 주차장(구)(구)","종로구 숭인동 766-2","NS","노상 주차장","6","이륜차 전용 주차장","","0","미연계중","5","0","","N","무료","N","야간 미개방","0000","0000","0000","0000","0000","0000","2019-06-10 10:07:02","Y","유료","Y","유료","0","1111017500012","0","0","0","0","0","0","0","0","0","37.57521088","127.02094614","PIS02","미배정미점유"
"1452167","힐스테이트옆 이륜차 주차장(구)(구)","종로구 숭인동 766-2","NS","노상 주차장","6","이륜차 전용 주차장","","0","미연계중","5","0","","N","무료","N","야간 미개방","0000","0000","0000","0000","0000","0000","2019-06-10 10:07:02","Y","유료","Y","유료","0","1111017500012","0","0","0","0","0","0","0","0","0","37.57517533","127.02095574","PIS02","미배정미점유"
"1452167","힐스테이트옆 이륜차 주차장(구)(구)","종로구 숭인동 766-2","NS","노상 주차장","6","이륜차 전용 주차장","","0","미연계중","5","0","","N","무료","N","야간 미개방","0000","0000","0000","0000","0000","0000","2019-06-10 10:07:02","Y","유료","Y","유료","0","1111017500012","0","0","0","0","0","0","0","0","0","37.57518425","127.02095329","PIS02","미배정미점유"
"1452167","힐스테이트옆 이륜차 주차장(구)(구)","종로구 숭인동 766-2","NS","노상 주차장","6","이륜차 전용 주차장","","0","미연계중","5","0","","N","무료","N","야간 미개방","0000","0000","0000","0000","0000","0000","2019-06-10 10:07:02","Y","유료","Y","유료","0","1111017500012","0","0","0","0","0","0","0","0","0","37.57519318","127.02095081","PIS02","미배정미점유"
