index,DONG_ID,자치구,동,2020_rate,2022_rate,2024_rate,2026_rate,2028_rate
1,1,강남구,신사동,2.95702001744897,2.95702001744897,2.95702001744897,2.95702001744897,2.95702001744897
2,2,강남구,논현1동,3.41438118758193,3.41438118758193,3.41438118758193,3.41438118758193,3.41438118758193
3,3,강남구,논현2동,3.28323061128633,3.28323061128633,3.28323061128633,3.28323061128633,3.28323061128633
4,4,강남구,삼성1동,3.06024576610722,3.06024576610722,3.06024576610722,3.06024576610722,3.06024576610722
5,5,강남구,삼성2동,3.88421238200609,3.88421238200609,3.88421238200609,3.88421238200609,3.88421238200609
6,6,강남구,대치1동,3.72341140538718,3.72341140538718,3.72341140538718,3.72341140538718,3.72341140538718
7,7,강남구,대치4동,3.38380953014529,3.38380953014529,3.38380953014529,3.38380953014529,3.38380953014529
8,8,강남구,역삼1동,4.99950994669587,4.99950994669587,4.99950994669587,4.99950994669587,4.99950994669587
9,9,강남구,역삼2동,4.16514298706374,4.16514298706374,4.16514298706374,4.16514298706374,4.16514298706374
10,10,강남구,도곡1동,3.19172275062651,3.19172275062651,3.19172275062651,3.19172275062651,3.19172275062651
11,11,강남구,도곡2동,3.93625971938067,3.93625971938067,3.93625971938067,3.93625971938067,3.93625971938067
12,12,강남구,개포1동,2.60681689625779,2.60681689625779,2.60681689625779,2.60681689625779,2.60681689625779
13,13,강남구,개포4동,3.52945178912426,3.52945178912426,3.52945178912426,3.52945178912426,3.52945178912426
14,14,강남구,일원본동,3.34566680660536,3.34566680660536,3.34566680660536,3.34566680660536,3.34566680660536
15,15,강남구,일원1동,3.01713870543904,3.01713870543904,3.01713870543904,3.01713870543904,3.01713870543904
16,16,강남구,일원2동,2.84533995599601,2.84533995599601,2.84533995599601,2.84533995599601,2.84533995599601
17,17,강남구,수서동,2.77670294199142,2.77670294199142,2.77670294199142,2.77670294199142,2.77670294199142
18,18,강남구,세곡동,4.51505097484219,4.51505097484219,4.51505097484219,4.51505097484219,4.51505097484219
19,19,강남구,압구정동,3.96617958495387,3.96617958495387,3.96617958495387,3.96617958495387,3.96617958495387
20,20,강남구,청담동,3.91599463657466,3.91599463657466,3.91599463657466,3.91599463657466,3.91599463657466
21,21,강남구,대치2동,4.5750409085762,4.5750409085762,4.5750409085762,4.5750409085762,4.5750409085762
22,22,강남구,개포2동,3.07209575578134,3.07209575578134,3.07209575578134,3.07209575578134,3.07209575578134
23,23,강동구,강일동,1.79371452433651,1.79371452433651,1.79371452433651,1.79371452433651,1.79371452433651
24,24,강동구,상일동,1.23489519925507,1.23489519925507,1.23489519925507,1.23489519925507,1.23489519925507
