index,lpg_id,name,x_cor,y_cor,installed_2020,installed_2022,installed_2024,installed_2026,installed_2028,동,자치구,dong_id
0,0,덕마가스충전소,37.5487108,127.0427275,0,0,0,1,1,성수1가2동,성동구,254
1,1,대성산업(주)동부충전소,37.5504541,127.0501927,0,0,0,0,1,성수2가3동,성동구,256
2,2,현대오일뱅크 중곡동충전소,37.5600492,127.0715211,0,0,0,0,1,중곡1동,광진구,97
3,3,한양에너지(주),37.5649577,127.0743513,0,0,0,0,1,중곡1동,광진구,97
4,4,해양가스,37.5345877,127.081491,0,0,0,0,1,자양1동,광진구,106
5,5,수도에너지(주)동서울충전소,37.5896355,127.0572487,0,0,0,1,1,휘경1동,동대문구,169
6,6,(주)홍릉가스충전소,37.591046,127.0390423,0,0,0,1,1,청량리동,동대문구,171
7,7,복지장안충전소,37.5761538,127.0650373,0,0,0,1,1,답십리2동,동대문구,177
8,8,장안동가스충전소,37.5628972,127.0564677,0,0,0,1,1,장안1동,동대문구,178
9,9,(주)풍림에너지,37.5796396,127.0770502,0,0,0,1,1,면목5동,중랑구,411
10,10,동일석유(주)황금충전소,37.5941469,127.0736578,0,0,0,1,1,중화2동,중랑구,416
11,11,신내LPG충전소,37.6127083,127.0986253,0,0,0,1,1,신내1동,중랑구,420
12,12,망우충전소,37.6005662,127.0997273,0,0,0,0,1,망우본동,중랑구,424
13,13,우일에너지(주),37.6079111,127.0280595,0,0,0,1,1,길음2동,성북구,271
14,14,(주)장위가스,37.6132323,127.0584353,0,0,0,1,1,장위3동,성북구,276
15,15,서울와사공업(주),37.6361977,127.0223295,0,0,0,1,1,번1동,강북구,41
16,16,(주)청학에너지,37.628133,127.0418651,0,0,0,1,1,번3동,강북구,43
17,17,국제가스공업(주),37.6342897,127.0196568,0,0,0,0,1,수유1동,강북구,44
18,18,케이와이에너지 (주)한영충전소,37.6605626,127.0391747,0,0,0,0,1,쌍문2동,도봉구,155
19,19,(주)에스케이행복에너지,37.6657713,127.0413803,0,0,0,0,1,방학1동,도봉구,158
20,20,동원가스충전소,37.6442559,127.0303566,0,0,0,0,1,창2동,도봉구,162
21,21,(주)평안에너지 도봉충전소,37.6669495,127.0037197,0,0,0,0,1,도봉1동,도봉구,166
22,22,복지공릉충전소,37.6387974,127.1073596,0,0,0,0,0,공릉2동,노원구,138
23,23,(주)노일가스,37.6714118,127.0533609,0,0,0,0,1,상계1동,노원구,144
24,24,복지노원충전소,37.6868658,127.0536446,0,0,0,0,1,상계1동,노원구,144
25,25,(주)평안에너지상계충전소,37.6491705,127.0648569,0,0,0,0,0,중계2.3동,노원구,152
26,26,신성에너지주식회사,37.6290624,127.06866,0,0,0,0,1,공릉1동,노원구,153
27,27,태능가스(주),37.6169558,127.0703365,0,0,0,0,1,공릉1동,노원구,153
28,28,신흥에너지산업(주),37.5785883,126.8981881,0,0,0,0,1,증산동,은평구,371
29,29,(주)삼표에너지 수색충전소,37.5777045,126.8991679,0,0,1,0,0,증산동,은평구,371
30,30,은평서부충전소,37.6436336,126.9190242,0,0,1,1,1,진관동,은평구,373
31,31,연일가스산업(주),37.5736524,126.9040941,0,0,0,1,1,북가좌1동,서대문구,221
32,32,(주)대흥가스,37.5310765,126.8297391,0,0,0,1,1,신월1동,양천구,313
33,33,비케이서비스산업(주),37.5389711,126.8244415,0,0,0,0,1,신월5동,양천구,317
34,34,(주)남양가스,37.5205794,126.8350239,0,0,0,0,1,신월7동,양천구,319
35,35,수도에너지(주),37.5068869,126.8368141,0,0,0,1,1,신정3동,양천구,322
36,36,복지신정충전소,37.5071347,126.8689771,0,0,0,0,1,신정7동,양천구,324
37,37,목동충전소,37.5256,126.8618748,0,0,0,1,1,신정4동,양천구,326
38,38,공항로충전소,37.55334,126.8564504,0,0,0,0,1,등촌2동,강서구,56
39,39,복지마곡충전소,37.5651159,126.8065389,0,0,0,1,1,가양1동,강서구,64
40,40,대영가스 충전소,37.5651159,126.8065389,0,0,1,0,0,가양1동,강서구,64
41,41,대양가스충전소,37.5583883,126.8585873,0,0,0,1,1,가양3동,강서구,66
42,42,(주)삼표에너지 김포충전소,37.5380632,126.7959011,0,0,0,1,1,공항동,강서구,68
43,43,강서가스충전소,37.5549768,126.766738,0,0,1,0,1,공항동,강서구,68
44,44,(주)에너지플러스 오곡동충전소,37.555591,126.7660194,0,0,0,1,0,공항동,강서구,68
45,45,한경에너지,37.5706795,126.7948821,0,0,0,0,0,방화2동,강서구,70
46,46,복지개화충전소,37.5747135,126.7995575,0,0,0,0,0,방화2동,강서구,70
47,47,대흥에너지산업(주),37.5297238,126.8450293,0,1,1,1,1,화곡1동,강서구,72
48,48,동일석유(주)남부충전소,37.4842727,126.8997642,0,0,1,1,1,구로3동,구로구,112
49,49,대성산업(주)오류동충전소,37.5380425,126.7280496,0,0,0,0,0,오류2동,구로구,120
50,50,오승프라임산업(주),37.5069035,126.826906,0,0,0,1,1,수궁동,구로구,121
51,51,한일가스산업(주),37.5018823,126.8756656,0,0,0,1,1,구로2동,구로구,123
52,52,개봉충전소,37.4964212,126.8583566,0,0,0,1,1,개봉1동,구로구,124
53,53,(주)중앙에너비스 삼중가스지점,37.4617966,126.8961355,0,0,0,0,1,독산2동,금천구,127
54,54,양평동충전소,37.5279356,126.8889105,0,0,0,0,1,양평1동,영등포구,330
55,55,기린에너지,37.5362563,126.8967643,0,0,0,1,1,양평2동,영등포구,331
56,56,(주)세지,37.5174334,126.8862583,0,0,1,1,1,문래동,영등포구,344
57,57,수도석유(주)방배충전소,37.4868961,126.973018,0,0,1,1,1,사당1동,동작구,187
58,58,동일석유(주)동주충전소,37.4994173,126.9266463,0,0,1,1,1,대방동,동작구,191
59,59,명화가스(주),37.4736762,126.9512765,0,0,0,1,1,낙성대동,관악구,77
60,60,신림충전소,37.4735388,126.9319687,0,0,0,1,1,서림동,관악구,83
61,61,(주)영동가스,37.5188926,127.0096661,0,0,1,1,1,잠원동,서초구,231
62,62,서초충전소,37.4730658,126.9932777,0,0,1,1,1,방배3동,서초구,240
63,63,(주)에이치앤디이-서울만남의광장,37.4599063,127.0398714,0,0,0,0,0,양재2동,서초구,243
64,64,(주)상현상사,37.5136307,127.0291575,0,0,1,1,1,논현2동,강남구,3
65,65,진양가스,37.4905825,127.0346343,0,0,0,1,1,도곡1동,강남구,10
66,66,대치에너지주식회사,37.4992996,127.0759013,0,0,0,0,1,일원2동,강남구,16
67,67,남서울가스(주),37.4977796,127.0733765,0,0,1,1,1,일원2동,강남구,16
68,68,강남복지충전소,37.4763295,127.1032761,0,1,1,0,1,세곡동,강남구,18
69,69,(주)수서에너지,37.4827957,127.1028258,0,0,0,1,1,세곡동,강남구,18
70,70,오금가스충전소,37.5061584,127.1294083,0,0,1,1,1,오금동,송파구,291
71,71,홍익에너지(주),37.5081049,127.1014515,0,0,0,1,1,석촌동,송파구,294
72,72,강동LPG충전소,37.5034486,127.0846755,0,0,0,0,1,잠실본동,송파구,303
73,73,복지상일충전소,37.5450485,127.1675848,0,0,0,1,1,상일동,강동구,24
74,74,암사충전소,37.5517791,127.1255452,0,0,0,0,1,암사2동,강동구,29
75,75,(주)경기에너지,37.5364849,127.1268028,0,0,0,1,1,성내2동,강동구,34
76,76,둔촌충전소,37.5252332,127.1444095,0,0,1,1,1,둔촌2동,강동구,37
