index,pl_id,name,x_cor,y_cor,installed_2020,installed_2022,installed_2024,installed_2026,installed_2028,동,자치구,dong_id
0,0,남부초공영주차장,37.4850413,126.9221169,0,0,0,1,1,신사동,강남구,1
1,1,신사동제1공영주차장,37.4843973,126.915444,0,0,0,1,1,신사동,강남구,1
2,2,압구정428,37.5268421056,127.0270562016,0,0,0,1,1,신사동,강남구,1
3,3,신구초교,37.5233612951,127.023991523,0,0,0,1,1,신사동,강남구,1
4,4,논현초교,37.5084906566,127.0262216669,0,0,0,1,1,논현1동,강남구,2
5,5,삼성1동문화센터,37.5143551261,127.0626093517,0,0,0,1,1,삼성1동,강남구,4
6,6,탄천주차장,37.5141115358,127.066491114,0,0,1,1,1,삼성1동,강남구,4
7,7,삼성로별관 부설,37.5159099376,127.0521408548,0,0,1,1,1,삼성1동,강남구,4
8,8,탄천,37.51289,127.069268,0,0,0,0,1,삼성1동,강남구,4
9,9,강남치매지원센터,37.5103116999,127.0463776454,0,0,0,1,1,삼성2동,강남구,5
10,10,구청 부설,37.5179663586,127.0470610826,0,0,0,0,1,삼성2동,강남구,5
11,11,도산대로25길32,37.4976788229,127.0564525891,0,0,0,0,0,대치4동,강남구,7
12,12,도곡로421,37.4976788229,127.0564525891,0,0,0,1,1,대치4동,강남구,7
13,13,도곡초교,37.4995106013,127.054463604,0,0,0,0,1,대치4동,강남구,7
14,14,도곡로21길7,37.4925934254,127.0388718483,0,0,1,1,1,역삼1동,강남구,8
15,15,역삼1동문화센터,37.4953738379,127.0332824836,0,0,0,1,1,역삼1동,강남구,8
16,16,역삼문화공원,37.5025141908,127.0303904616,0,1,1,1,1,역삼1동,강남구,8
17,17,도곡로327,37.4961565104,127.0516657363,0,0,1,1,1,역삼2동,강남구,9
18,18,언주초교,37.4863230777,127.0367926524,0,0,0,0,0,도곡1동,강남구,10
19,19,논현로32길15,37.4842521056,127.0434399102,0,0,0,1,1,도곡2동,강남구,11
20,20,구룡산제1호,37.4760669787,127.0672849458,0,0,0,1,0,개포1동,강남구,12
21,21,구룡산제2호,37.4760669787,127.0672849458,0,0,1,0,1,개포1동,강남구,12
22,22,포이초교,37.475292873,127.0514162216,0,0,0,0,1,개포4동,강남구,13
23,23,논현로22길,37.4812594671,127.0468164511,0,0,0,0,1,개포4동,강남구,13
24,24,개포로24길33,37.4771388546,127.0497487923,0,0,1,1,1,개포4동,강남구,13
25,25,일원역,37.484669,127.084056,0,0,1,1,1,일원본동,강남구,14
26,26,일원터널,37.482745,127.078902,0,1,1,1,1,일원본동,강남구,14
27,27,탄천제2호,37.4931474673,127.0877676116,0,0,0,1,1,일원1동,강남구,15
28,28,일원1동,37.4895657461,127.0817931211,0,0,0,1,1,일원1동,강남구,15
29,29,영희초교,37.4923016605,127.0811312059,0,0,0,0,1,일원1동,강남구,15
30,30,일원동,37.491368,127.088279,0,0,0,0,1,일원1동,강남구,15
31,31,대청역,37.4949158103,127.0793201996,0,0,0,0,0,일원2동,강남구,16
32,32,밤고개로21길,37.4949158103,127.0793201996,0,0,0,0,0,일원2동,강남구,16
33,33,대청역,37.4949158103,127.0793201996,0,0,0,0,0,일원2동,강남구,16
